98.0,80.0,36.00274658203125,26.998748779296875
110.0,83.0,36.001220703125,27.005569458007812
126.0,79.0,35.99888610839844,27.00188446044922
52.0,192.0,13.846359252929688,-17.835922241210938
100.0,88.0,36.00067138671875,26.998367309570312
88.0,229.0,15.561805725097656,-5.66229248046875
135.0,93.0,36.00030517578125,27.003211975097656
94.0,224.0,14.940757751464844,-7.65966796875
125.0,88.0,36.00019836425781,27.006362915039062
152.0,112.0,36.00175476074219,27.003173828125
190.0,195.0,36.00157165527344,26.9970703125
